ID_Equipo;Tag_Corporativo;Modelo_Laptop;RAM_GB;CPU_Temp_C;Bat_Ciclos;Bat_Health_Pct;Consumo_kWh_Mes;Horas_Uso_Dia;Estado_Hardware;Vida_Util_Meses;Alerta_Obsolescencia;
EQ-027;LAP-FIN-14;ThinkPad E14 Gen 7;8;77,3;640;60;22,5;10,8;Alerta Mantenimiento;10.8;ADVERTENCIA;
EQ-028;LAP-DEV-11;ThinkPad E14 Gen 7;16;43;85;96;13,5;7,2;Óptimo;34.6;OK;
EQ-029;LAP-OPER-17;ThinkPad E14 Gen 7;8;73;500;69;20,8;9,9;Alerta Mantenimiento;12.4;ADVERTENCIA;
EQ-030;LAP-ADM-09;ThinkPad E14 Gen 7;16;51,5;290;83;16,5;8,4;Óptimo;29.9;OK;
EQ-031;LAP-FIN-15;ThinkPad E14 Gen 7;8;87,2;970;39;29,1;12,4;Riesgo Obsolescencia;2.3;CRÍTICO;
EQ-032;LAP-DEV-12;ThinkPad E14 Gen 7;16;48,2;200;87;15,3;8,1;Óptimo;31.3;OK;
EQ-033;LAP-OPER-18;ThinkPad E14 Gen 7;8;76,8;630;62;22,1;10,6;Alerta Mantenimiento;11.2;ADVERTENCIA;
EQ-034;LAP-ADM-10;ThinkPad E14 Gen 7;16;54,1;350;80;17,2;8,9;Óptimo;28.8;OK;
EQ-035;LAP-DEV-13;ThinkPad E14 Gen 7;16;84;930;41;27,8;12;Riesgo Obsolescencia;2.5;CRÍTICO;
EQ-036;LAP-OPER-19;ThinkPad E14 Gen 7;8;46,1;160;90;14,9;8;Óptimo;32.4;OK;
EQ-037;LAP-FIN-16;ThinkPad E14 Gen 7;8;64,2;450;74;18,9;9,4;Óptimo;26.6;OK;
EQ-038;LAP-ADM-11;ThinkPad E14 Gen 7;16;78;670;59;23;11;Alerta Mantenimiento;10.6;ADVERTENCIA;
EQ-039;LAP-DEV-14;ThinkPad E14 Gen 7;16;42,5;75;97;13,2;7;Óptimo;34.9;OK;
EQ-040;LAP-OPER-20;ThinkPad E14 Gen 7;8;89,1;990;35;30;12,8;Riesgo Obsolescencia;2.1;CRÍTICO;
